"Distance quakes/tectonic_plates","Distance uniform_law/tectonic_plates"
112260.342566993,1195895.77371615
152650.471937621,1543443.74548587
697033.012463178,108132.67619456
76031.2760688386,782195.374890574
90762.3194174866,1413172.53436924
111984.714195649,1470644.63512892
36275.8812914119,159190.739611252
116243.743503783,212813.827540375
59871.5947183966,1019116.09084305
132575.86376101,2465684.62266087
44093.9251815014,1043140.5694109
38045.1170804506,1451328.94603748
19343.5143181009,2162710.69130845
123974.293286717,1823003.35093617
83540.1706530032,308684.376398948
216729.913242054,480202.094619346
111698.019465314,1052082.64149541
58754.0456280532,61616.1921813064
77288.4476798558,2383648.38634658
96300.8430357963,757579.112989685
43306.7359359269,733509.017077356
39071.9005028233,272565.513451225
72295.0461086448,289928.871258717
17194.4728984388,135177.414086707
49895.3167631155,1470530.43029898
282879.960651946,1768619.17314381
41231.4426177383,2654367.59733826
285329.368161318,2314168.76038216
482914.576319136,252799.989467099
67359.265509575,1149891.29773633
152128.305004752,381412.899126258
67439.9754668723,1334425.33076824
162759.647436374,310815.693266194
9497.03045200052,1083328.11593556
104817.9864318,2779862.37040724
47403.0093322519,663061.619807775
53405.6130101915,960502.129920707
49873.286189019,2029324.00323515
212051.016799587,977238.649877917
146150.814602904,59264.6747758679
222645.300891061,1289456.21265208
224126.836745433,564420.770201964
164589.245229255,2920205.58996459
12565.5895312272,1203851.29682484
14130.8877413254,33822.5969885598
45755.0929104715,2019520.76514703
52908.3135597833,305142.945124269
80234.7999780301,154004.277274122
49315.0230522531,1118200.55983134
56026.064727683,96664.9809020745
135559.034162425,238190.90435273
101990.035245481,329316.024168992
35288.3516857568,1830694.73879112
127804.78092346,1552344.7653044
37741.1591421926,1657700.08078093
57858.3694688871,2448087.66836744
30243.8884505749,2568225.26987398
19268.2568727058,599145.770789888
6673.20265493987,404044.584398265
70581.4538634954,1593979.20794944
303465.192264623,151271.116172035
117949.032388735,25065.8221310723
20389.1487432788,847303.841684614
324597.568611572,2534330.57486473
198277.85806381,2467307.01987057
106189.609714684,731778.017192718
28847.8408708822,254948.79207157
19761.8918540431,1004714.96052244
1141371.34128543,555696.8337612
168066.997016332,259559.68106963
90708.3732214561,2095607.08124438
161576.213195017,2329994.43441358
49367.9882100699,485596.656017076
42577.1633154602,1323078.35000326
77222.374121668,1005383.5897554
135891.617385322,1976823.34438567
130991.390874576,404183.092772095
41256.6155238494,2192471.42234381
26106.1220497702,1314931.80897371
21488.4357119037,2658268.37445142
36785.3769500901,1304976.26032832
23051.6938399922,1459236.24918159
20801.3413987243,860448.220980943
109708.128779169,3035967.08244065
25025.2858274705,774148.071194206
107309.495094053,1109847.59328191
71328.3547906312,854337.331542185
11672.3707439712,784175.931478907
2781.40404372184,950530.856423047
309791.52115055,2127308.41127648
62589.7109624949,2297809.09041574
150917.238097929,2062738.77787784
140871.561106904,91334.5888764948
103934.427524071,1157197.99576462
30594.4297013216,96022.7824691071
32158.5894237167,352252.671014007
4724.02095799454,2656330.75702871
40754.7671711482,1255789.4266434
45980.5964670773,1084800.74599753
40684.7903587204,150258.018415244
267773.464452804,158233.21190199
109664.170719379,1793662.89358424
73581.9307420112,2066829.79518961
52003.0902363333,818790.560734943
527414.939997024,1443716.71716352
64659.6169686841,1490220.4072455
98564.1012329343,2580536.77093207
42674.8473547565,138419.556885291
40945.2870508473,820160.749132527
34373.194066214,682128.33302695
119775.355938073,1981620.45687204
77065.2054827859,1753578.97661451
7627.77271684079,2852439.13172436
134028.350623624,449657.585722009
19106.8118264538,16018.1801067177
80626.0422062703,816205.054829107
217673.842434534,923554.180573396
14906.3640599265,1150796.48336991
138628.080629306,789302.949613627
18714.4371674454,1222161.42488857
175458.875949528,1529134.57157055
101478.131873411,151267.966624363
149439.28416718,713991.126306975
140160.790759067,2539570.23619275
58918.9145141012,308567.889011878
48907.3403624588,2527559.19995826
88331.3005426736,655640.44892697
45369.8970925564,1637310.3324785
69483.1192395592,1134646.26851341
62589.9050699235,2646890.94442653
54240.7326978037,300491.791478713
162644.960588078,3218097.80990901
70810.9951416787,2178122.54283625
72699.4783824761,48578.0110570423
78486.5380036901,411995.512827186
97517.2571951993,1380994.24864039
56424.3782202002,596948.009370312
447006.124181929,1303873.52699307
99471.4678431779,1699209.31006741
109197.060961515,21459.0486294077
53013.4759076821,668688.613975872
92601.102208095,399459.2294759
66480.7998320241,1737607.15888781
52891.5729550626,478737.829021829
36398.8899618828,1726498.41675028
22911.2288730808,212737.383500246
34913.4044125883,1135848.36295653
39646.8531379832,76842.1457164267
64314.5945842416,358229.557055256
